1.000000-5 1.932772+5
2.530000-2 3.842558+3
9.400000+0 1.990185+2
1.500000+2 4.956277+1
2.500000+2 3.831832+1
3.500000+2 3.233614+1
4.500000+2 2.848241+1
5.500000+2 2.573468+1
6.500000+2 2.364929+1
7.500000+2 2.199683+1
8.500000+2 2.064617+1
9.500000+2 1.951509+1
1.500000+3 1.547805+1
2.500000+3 1.193786+1
3.500000+3 1.005878+1
4.500000+3 8.850558+0
5.500000+3 7.991435+0
6.500000+3 7.340368+0
7.500000+3 6.825752+0
8.500000+3 6.405697+0
9.500000+3 6.054270+0
1.500000+4 4.808771+0
2.000000+4 4.165476+0
2.400000+4 3.806508+0
3.000000+4 3.413503+0
4.500000+4 2.813012+0
5.500000+4 2.562977+0
6.500000+4 2.378318+0
7.500000+4 2.234816+0
8.500000+4 2.116917+0
9.500000+4 2.021200+0
1.000000+5 1.979797+0
1.200000+5 1.840032+0
1.500000+5 1.684308+0
1.700000+5 1.595972+0
1.800000+5 1.553250+0
1.900000+5 1.510705+0
2.000000+5 1.467591+0
2.100000+5 1.424068+0
2.200000+5 1.380120+0
2.300000+5 1.335697+0
2.350000+5 1.313573+0
2.400000+5 1.291193+0
2.450000+5 1.269450+0
2.500000+5 1.247772+0
2.600000+5 1.204621+0
2.700000+5 1.163214+0
2.800000+5 1.123546+0
3.000000+5 1.050787+0
3.200000+5 9.897177-1
3.250000+5 9.760256-1
3.400000+5 9.408983-1
3.500000+5 9.216228-1
3.600000+5 9.056272-1
3.750000+5 8.887633-1
3.800000+5 8.846560-1
4.000000+5 8.762404-1
4.200000+5 8.772094-1
4.250000+5 8.775751-1
4.400000+5 8.785750-1
4.500000+5 8.792237-1
4.600000+5 8.764487-1
4.750000+5 8.635033-1
4.800000+5 8.574437-1
5.000000+5 8.205889-1
5.200000+5 7.702238-1
5.400000+5 7.131725-1
5.600000+5 6.557815-1
5.700000+5 6.282981-1
5.800000+5 6.017731-1
6.000000+5 5.532285-1
6.500000+5 4.554527-1
7.000000+5 3.857019-1
7.500000+5 3.361329-1
7.907138+5 3.082112-1
8.000000+5 3.023500-1
8.200000+5 2.902493-1
8.400000+5 2.794274-1
8.500000+5 2.744987-1
8.800000+5 2.610262-1
9.000000+5 2.530846-1
9.400000+5 2.393362-1
9.500000+5 2.362865-1
9.600000+5 2.333773-1
9.800000+5 2.279421-1
1.000000+6 2.229818-1
1.050000+6 2.137402-1
1.100000+6 2.103227-1
1.150000+6 2.108469-1
1.200000+6 2.140706-1
1.250000+6 2.190973-1
1.300000+6 2.269133-1
1.350000+6 2.386433-1
1.400000+6 2.538785-1
1.450000+6 2.719450-1
1.500000+6 2.928000-1
1.550000+6 3.248123-1
1.600000+6 3.721273-1
1.620000+6 3.934619-1
1.640000+6 4.159125-1
1.650000+6 4.273298-1
1.680000+6 4.597781-1
1.700000+6 4.798547-1
1.750000+6 5.165000-1
1.800000+6 5.262540-1
1.850000+6 5.215069-1
1.900000+6 5.060907-1
1.950000+6 4.847658-1
2.000000+6 4.596000-1
2.050000+6 4.280959-1
2.100000+6 3.958590-1
2.150000+6 3.647927-1
2.200000+6 3.384507-1
2.250000+6 3.194910-1
2.300000+6 3.052108-1
2.350000+6 2.938520-1
2.400000+6 2.849606-1
2.450000+6 2.810818-1
2.500000+6 2.878578-1
2.550000+6 3.034110-1
2.600000+6 3.200000-1
2.650000+6 3.357468-1
2.700000+6 3.518343-1
2.750000+6 3.815892-1
2.800000+6 4.000000-1
2.850000+6 3.847509-1
2.900000+6 3.650000-1
2.950000+6 3.468235-1
3.000000+6 3.300000-1
3.050000+6 3.154824-1
3.100000+6 3.032678-1
3.150000+6 2.912018-1
3.200000+6 2.820000-1
3.300000+6 2.821814-1
3.400000+6 2.960000-1
3.600000+6 3.300000-1
3.700000+6 3.474155-1
3.800000+6 3.650000-1
4.000000+6 3.500000-1
4.200000+6 2.745479-1
4.300000+6 2.606951-1
4.400000+6 2.450000-1
4.600000+6 2.000000-1
4.800000+6 1.712930-1
5.000000+6 1.478000-1
5.200000+6 1.318452-1
5.400000+6 1.161278-1
5.500000+6 1.124321-1
5.600000+6 1.121000-1
5.800000+6 1.147314-1
6.000000+6 1.165057-1
6.200000+6 1.181696-1
6.400000+6 1.183391-1
6.600000+6 1.171289-1
6.800000+6 1.148436-1
7.000000+6 1.104513-1
7.200000+6 1.041907-1
7.400000+6 9.738018-2
7.600000+6 9.071085-2
7.800000+6 8.463679-2
8.000000+6 7.942750-2
8.200000+6 7.465784-2
8.400000+6 7.052106-2
8.600000+6 6.689338-2
8.800000+6 6.367160-2
9.000000+6 6.076367-2
9.200000+6 5.812695-2
9.400000+6 5.577225-2
9.600000+6 5.369136-2
9.800000+6 5.187475-2
1.000000+7 5.031229-2
1.050000+7 4.658572-2
1.100000+7 4.403554-2
1.150000+7 4.218219-2
1.200000+7 4.126500-2
1.250000+7 4.130563-2
1.300000+7 4.198975-2
1.350000+7 4.319183-2
1.400000+7 4.437300-2
1.450000+7 4.490981-2
1.500000+7 4.459223-2
1.550000+7 4.317406-2
1.600000+7 4.164776-2
1.650000+7 4.015499-2
1.700000+7 3.870001-2
1.750000+7 3.722898-2
1.800000+7 3.576560-2
1.850000+7 3.430929-2
1.900000+7 3.285713-2
1.950000+7 3.141235-2
2.000000+7 2.998125-2
 
 
 
 
