1.000000-5 2.200000+0
2.530000-2 2.175000+0
1.000000+0 2.174900+0
9.400000+0 2.172300+0
1.500000+2 2.124260+0
2.500000+2 2.118900+0
3.500000+2 2.115990+0
4.500000+2 2.113150+0
5.500000+2 2.111780+0
6.500000+2 2.110370+0
7.500000+2 2.109170+0
8.500000+2 2.107700+0
9.500000+2 2.106500+0
1.000000+3 2.106660+0
1.500000+3 2.104400+0
2.500000+3 2.104400+0
3.500000+3 2.106660+0
4.500000+3 2.110285+0
5.500000+3 2.114421+0
6.500000+3 2.119486+0
7.500000+3 2.124716+0
8.500000+3 2.130450+0
9.500000+3 2.136842+0
1.500000+4 2.173682+0
2.000000+4 2.210610+0
2.400000+4 2.241461+0
3.000000+4 2.288992+0
4.500000+4 2.413591+0
5.100000+4 2.463399+0
5.500000+4 2.499459+0
6.500000+4 2.583752+0
7.500000+4 2.667836+0
8.500000+4 2.754038+0
9.500000+4 2.837457+0
1.000000+5 2.878165+0
1.200000+5 3.039891+0
1.500000+5 3.266807+0
1.700000+5 3.406926+0
1.800000+5 3.472815+0
1.900000+5 3.535333+0
2.000000+5 3.594431+0
2.100000+5 3.649374+0
2.200000+5 3.699833+0
2.300000+5 3.745738+0
2.350000+5 3.766734+0
2.400000+5 3.786774+0
2.450000+5 3.804998+0
2.500000+5 3.822023+0
2.600000+5 3.852668+0
2.700000+5 3.877686+0
2.800000+5 3.897584+0
3.000000+5 3.922775+0
3.200000+5 3.929094+0
3.250000+5 3.928323+0
3.400000+5 3.920114+0
3.500000+5 3.910454+0
3.600000+5 3.898495+0
3.750000+5 3.875647+0
3.800000+5 3.867075+0
4.000000+5 3.830108+0
4.200000+5 3.790613+0
4.250000+5 3.780920+0
4.400000+5 3.752583+0
4.500000+5 3.730992+0
4.600000+5 3.709339+0
4.750000+5 3.675123+0
4.800000+5 3.662323+0
5.000000+5 3.607163+0
5.200000+5 3.544374+0
5.400000+5 3.477527+0
5.600000+5 3.409705+0
5.700000+5 3.375891+0
5.800000+5 3.342926+0
6.000000+5 3.277615+0
6.500000+5 3.122865+0
7.000000+5 2.979136+0
7.500000+5 2.844938+0
7.907138+5 2.740511+0
8.000000+5 2.718050+0
8.200000+5 2.671271+0
8.400000+5 2.625950+0
8.500000+5 2.603781+0
8.600000+5 2.581795+0
8.800000+5 2.539596+0
9.000000+5 2.498588+0
9.200000+5 2.458674+0
9.400000+5 2.420693+0
9.500000+5 2.401931+0
9.600000+5 2.383463+0
9.800000+5 2.347594+0
1.000000+6 2.313083+0
1.050000+6 2.243079+0
1.100000+6 2.169987+0
1.150000+6 2.094454+0
1.200000+6 2.017117+0
1.250000+6 1.939595+0
1.300000+6 1.866694+0
1.350000+6 1.796683+0
1.400000+6 1.741515+0
1.450000+6 1.698008+0
1.500000+6 1.651254+0
1.550000+6 1.617088+0
1.600000+6 1.627701+0
1.620000+6 1.637821+0
1.640000+6 1.647596+0
1.650000+6 1.651643+0
1.660000+6 1.656731+0
1.680000+6 1.671164+0
1.700000+6 1.689469+0
1.720000+6 1.709756+0
1.740000+6 1.724284+0
1.750000+6 1.728127+0
1.760000+6 1.732436+0
1.780000+6 1.728212+0
1.800000+6 1.710050+0
1.820000+6 1.685837+0
1.840000+6 1.655338+0
1.850000+6 1.638927+0
1.860000+6 1.623697+0
1.880000+6 1.591961+0
1.900000+6 1.559364+0
1.915000+6 1.536460+0
1.915446+6 1.536056+0
1.920000+6 1.528918+0
1.940000+6 1.500458+0
1.950000+6 1.489794+0
1.960000+6 1.480594+0
1.980000+6 1.467895+0
2.000000+6 1.459173+0
2.020000+6 1.452031+0
2.040000+6 1.445547+0
2.050000+6 1.443173+0
2.060000+6 1.439792+0
2.080000+6 1.434855+0
2.100000+6 1.430848+0
2.120000+6 1.430137+0
2.140000+6 1.431893+0
2.150000+6 1.433709+0
2.160000+6 1.434992+0
2.180000+6 1.440179+0
2.200000+6 1.450066+0
2.220000+6 1.461013+0
2.240000+6 1.478149+0
2.250000+6 1.489271+0
2.260000+6 1.500106+0
2.280000+6 1.521917+0
2.300000+6 1.543876+0
2.320000+6 1.563602+0
2.340000+6 1.583379+0
2.350000+6 1.593272+0
2.360000+6 1.602211+0
2.371316+6 1.611968+0
2.380000+6 1.619830+0
2.400000+6 1.637267+0
2.420000+6 1.652730+0
2.440000+6 1.668604+0
2.450000+6 1.676757+0
2.460000+6 1.684361+0
2.480000+6 1.707578+0
2.500000+6 1.738438+0
2.520000+6 1.769644+0
2.540000+6 1.801218+0
2.550000+6 1.816005+0
2.560000+6 1.831215+0
2.580000+6 1.866671+0
2.600000+6 1.904169+0
2.620000+6 1.938148+0
2.640000+6 1.962950+0
2.650000+6 1.970157+0
2.660000+6 1.975171+0
2.680000+6 1.984978+0
2.700000+6 1.994577+0
2.720000+6 1.998606+0
2.740000+6 2.002636+0
2.750000+6 2.004684+0
2.760000+6 2.009006+0
2.780000+6 2.017419+0
2.800000+6 2.007177+0
2.820000+6 1.984129+0
2.840000+6 1.950871+0
2.850000+6 1.935324+0
2.860000+6 1.921907+0
2.880000+6 1.894569+0
2.900000+6 1.866942+0
2.920000+6 1.838862+0
2.940000+6 1.811420+0
2.950000+6 1.798084+0
2.960000+6 1.784614+0
2.980000+6 1.757959+0
3.000000+6 1.731643+0
3.020000+6 1.704123+0
3.040000+6 1.676848+0
3.050000+6 1.663255+0
3.060000+6 1.649311+0
3.080000+6 1.621464+0
3.100000+6 1.593721+0
3.120000+6 1.566625+0
3.140000+6 1.540864+0
3.150000+6 1.528631+0
3.160000+6 1.515855+0
3.180000+6 1.491584+0
3.200000+6 1.468616+0
3.250000+6 1.407997+0
3.300000+6 1.355277+0
3.350000+6 1.341548+0
3.400000+6 1.349185+0
3.420000+6 1.338547+0
3.450000+6 1.304058+0
3.458281+6 1.297245+0
3.500000+6 1.242596+0
3.550000+6 1.199308+0
3.600000+6 1.160463+0
3.650000+6 1.125623+0
3.700000+6 1.100375+0
3.750000+6 1.082470+0
3.800000+6 1.077176+0
3.850000+6 1.100466+0
3.900000+6 1.136128+0
3.948451+6 1.168537+0
3.950000+6 1.171701+0
4.000000+6 1.203897+0
4.050000+6 1.247740+0
4.100000+6 1.278134+0
4.150000+6 1.300128+0
4.200000+6 1.321439+0
4.250000+6 1.328587+0
4.300000+6 1.333838+0
4.350000+6 1.321464+0
4.400000+6 1.289059+0
4.450000+6 1.260426+0
4.500000+6 1.233503+0
4.550000+6 1.206550+0
4.600000+6 1.179306+0
4.650000+6 1.153261+0
4.700000+6 1.121569+0
4.750000+6 1.089059+0
4.800000+6 1.064992+0
4.850000+6 1.046702+0
4.900000+6 1.031979+0
4.950000+6 1.018204+0
5.000000+6 1.004512+0
5.100000+6 9.775101-1
5.200000+6 9.547558-1
5.250000+6 9.461548-1
5.254914+6 9.453053-1
5.300000+6 9.410781-1
5.400000+6 9.373892-1
5.500000+6 9.447687-1
5.600000+6 9.556386-1
5.625092+6 9.572213-1
5.684092+6 9.587106-1
5.700000+6 9.596319-1
5.701813+6 9.599686-1
5.800000+6 9.645539-1
5.900000+6 9.726413-1
6.000000+6 9.816551-1
6.100000+6 9.930494-1
6.200000+6 1.004757+0
6.300000+6 1.011181+0
6.309584+6 1.011758+0
6.311246+6 1.011867+0
6.320000+6 1.012478+0
6.400000+6 1.017630+0
6.500000+6 1.006454+0
6.515808+6 1.007891+0
6.552747+6 1.010427+0
6.600000+6 1.014949+0
6.631935+6 1.012301+0
6.645209+6 1.010971+0
6.700000+6 1.008621+0
6.744431+6 1.002736+0
6.800000+6 9.979220-1
6.880000+6 9.926457-1
6.900000+6 9.912348-1
7.000000+6 9.817032-1
7.100000+6 9.781445-1
7.155000+6 9.760307-1
7.200000+6 9.742616-1
7.300000+6 9.696834-1
7.400000+6 9.646622-1
7.500000+6 9.584238-1
7.600000+6 9.521450-1
7.700000+6 9.451386-1
7.705000+6 9.447960-1
7.800000+6 9.382278-1
7.900000+6 9.315900-1
8.000000+6 9.255242-1
8.100000+6 9.188295-1
8.200000+6 9.110278-1
8.256000+6 9.064220-1
8.300000+6 9.027826-1
8.400000+6 8.944134-1
8.500000+6 8.861155-1
8.600000+6 8.783458-1
8.700000+6 8.713968-1
8.800000+6 8.658968-1
8.806000+6 8.656679-1
8.900000+6 8.620792-1
9.000000+6 8.600725-1
9.100000+6 8.595641-1
9.200000+6 8.609677-1
9.300000+6 8.638622-1
9.356000+6 8.660540-1
9.400000+6 8.677899-1
9.500000+6 8.724491-1
9.600000+6 8.771036-1
9.700000+6 8.816943-1
9.800000+6 8.858559-1
9.900000+6 8.893141-1
9.907000+6 8.894855-1
1.000000+7 8.917703-1
1.010000+7 8.936276-1
1.020000+7 8.954708-1
1.040000+7 8.991112-1
1.045700+7 9.001359-1
1.050000+7 9.009065-1
1.060000+7 9.022746-1
1.080000+7 9.048082-1
1.100000+7 9.072268-1
1.100700+7 9.073597-1
1.110000+7 9.091332-1
1.120000+7 9.110558-1
1.140000+7 9.147765-1
1.150000+7 9.165133-1
1.155800+7 9.174094-1
1.160000+7 9.180572-1
1.170000+7 9.194188-1
1.180000+7 9.207172-1
1.200000+7 9.228970-1
1.210000+7 9.224722-1
1.210800+7 9.224393-1
1.220000+7 9.220760-1
1.230000+7 9.202046-1
1.240000+7 9.183350-1
1.250000+7 9.159603-1
1.260000+7 9.132458-1
1.265800+7 9.118811-1
1.270000+7 9.108960-1
1.280000+7 9.085623-1
1.300000+7 9.062165-1
1.320000+7 9.056081-1
1.320900+7 9.055908-1
1.330000+7 9.054213-1
1.340000+7 9.052536-1
1.350000+7 9.052152-1
1.360000+7 9.054747-1
1.370000+7 9.058641-1
1.375900+7 9.061098-1
1.380000+7 9.062837-1
1.390000+7 9.068576-1
1.400000+7 9.074582-1
1.420000+7 9.091587-1
1.430000+7 9.100960-1
1.431000+7 9.101922-1
1.440000+7 9.110705-1
1.450000+7 9.121055-1
1.460000+7 9.130800-1
1.480000+7 9.150919-1
1.486000+7 9.156961-1
1.490000+7 9.160998-1
1.500000+7 9.171139-1
1.520000+7 9.194794-1
1.540000+7 9.217839-1
1.541000+7 9.218930-1
1.550000+7 9.228854-1
1.560000+7 9.239142-1
1.580000+7 9.258463-1
1.590000+7 9.267178-1
1.596100+7 9.272627-1
1.600000+7 9.276128-1
1.610000+7 9.283744-1
1.620000+7 9.291603-1
1.640000+7 9.307021-1
1.650000+7 9.314580-1
1.651100+7 9.315387-1
1.660000+7 9.321999-1
1.670000+7 9.329313-1
1.680000+7 9.336850-1
1.700000+7 9.351653-1
1.706100+7 9.355853-1
1.710000+7 9.358560-1
1.720000+7 9.365593-1
1.740000+7 9.379505-1
1.750000+7 9.386352-1
1.760000+7 9.392762-1
1.761200+7 9.393509-1
1.770000+7 9.399055-1
1.780000+7 9.405453-1
1.800000+7 9.418132-1
1.810000+7 9.423688-1
1.816200+7 9.427141-1
1.820000+7 9.429259-1
1.830000+7 9.434820-1
1.840000+7 9.440429-1
1.850000+7 9.446034-1
1.860000+7 9.451158-1
1.870000+7 9.456222-1
1.871300+7 9.456888-1
1.880000+7 9.461370-1
1.890000+7 9.466508-1
1.900000+7 9.471725-1
1.920000+7 9.481894-1
1.926300+7 9.485009-1
1.930000+7 9.486844-1
1.940000+7 9.491788-1
1.950000+7 9.496611-1
1.960000+7 9.501389-1
1.980000+7 9.510695-1
1.981300+7 9.511280-1
1.990000+7 9.515212-1
2.000000+7 9.519720-1
 
 
 
