7.907138+5 0.000000+0
8.000000+5 1.042700-5
8.200000+5 2.938430-5
8.400000+5 4.834160-5
8.800000+5 8.625620-5
1.000000+6 2.000000-4
1.100000+6 5.505400-4
1.200000+6 1.100000-3
1.300000+6 1.793800-3
1.400000+6 2.900000-3
1.500000+6 4.700000-3
1.550000+6 5.745800-3
1.600000+6 7.100000-3
1.620000+6 7.860000-3
1.640000+6 8.620000-3
1.650000+6 9.000000-3
1.680000+6 1.050000-2
1.700000+6 1.150000-2
1.750000+6 1.650000-2
1.800000+6 2.720000-2
1.850000+6 4.130000-2
1.900000+6 6.020000-2
1.915000+6 6.734300-2
1.915446+6 6.746728-2
1.940000+6 7.770000-2
1.960000+6 8.040000-2
1.980000+6 7.770000-2
2.000000+6 7.150000-2
2.050000+6 6.070001-2
2.150000+6 4.680177-2
2.200000+6 4.141542-2
2.300000+6 3.513842-2
2.350000+6 3.393525-2
2.371316+6 3.373196-2
2.400000+6 3.396459-2
2.600000+6 3.715588-2
2.750000+6 4.095859-2
2.800000+6 4.247557-2
2.950000+6 4.791360-2
3.000000+6 5.007641-2
3.200000+6 6.205297-2
3.300000+6 6.607891-2
3.400000+6 6.587750-2
3.600000+6 5.780822-2
3.700000+6 5.776199-2
3.800000+6 6.349668-2
3.900000+6 7.017101-2
3.948451+6 7.350893-2
4.000000+6 7.928592-2
4.100000+6 8.855501-2
4.200000+6 9.887383-2
4.400000+6 1.209233-1
4.600000+6 1.408826-1
4.800000+6 1.422025-1
5.000000+6 1.418061-1
5.200000+6 1.408429-1
5.250000+6 1.405019-1
5.254914+6 1.404634-1
5.400000+6 1.390190-1
5.500000+6 1.378927-1
5.600000+6 1.385413-1
5.625092+6 1.403096-1
5.684092+6 1.460972-1
5.700000+6 1.477040-1
5.701813+6 1.481863-1
5.800000+6 1.569920-1
5.900000+6 1.657593-1
6.000000+6 1.738092-1
6.200000+6 1.898207-1
6.400000+6 1.949885-1
6.500000+6 1.909001-1
6.515808+6 1.906445-1
6.600000+6 1.938171-1
6.631935+6 1.947522-1
6.700000+6 2.213292-1
6.744431+6 2.399380-1
6.800000+6 2.501695-1
6.900000+6 2.605943-1
7.000000+6 2.589574-1
7.100000+6 2.635723-1
7.155000+6 2.660446-1
7.200000+6 2.695144-1
7.400000+6 2.814441-1
7.600000+6 2.873469-1
7.700000+6 2.886944-1
7.705000+6 2.887601-1
7.800000+6 2.897624-1
8.000000+6 2.920403-1
8.200000+6 2.994167-1
8.256000+6 3.023191-1
8.300000+6 3.045593-1
8.400000+6 3.101289-1
8.600000+6 3.214328-1
8.800000+6 3.308748-1
8.806000+6 3.310688-1
8.900000+6 3.341369-1
9.000000+6 3.363820-1
9.200000+6 3.372953-1
9.300000+6 3.358590-1
9.356000+6 3.347069-1
9.400000+6 3.337684-1
9.500000+6 3.312212-1
9.600000+6 3.287337-1
9.800000+6 3.249993-1
9.900000+6 3.243389-1
9.907000+6 3.243702-1
1.000000+7 3.248875-1
1.010000+7 3.264672-1
1.040000+7 3.318786-1
1.045700+7 3.332631-1
1.050000+7 3.342423-1
1.060000+7 3.362108-1
1.100000+7 3.419840-1
1.100700+7 3.419825-1
1.110000+7 3.418373-1
1.120000+7 3.414204-1
1.150000+7 3.411652-1
1.155800+7 3.405209-1
1.160000+7 3.400820-1
1.170000+7 3.391382-1
1.200000+7 3.394513-1
1.210000+7 3.405898-1
1.210800+7 3.406637-1
1.220000+7 3.413908-1
1.230000+7 3.438299-1
1.250000+7 3.492427-1
1.260000+7 3.519847-1
1.265800+7 3.534316-1
1.270000+7 3.544500-1
1.280000+7 3.568882-1
1.300000+7 3.592580-1
1.320000+7 3.591325-1
1.320900+7 3.590813-1
1.330000+7 3.585428-1
1.340000+7 3.579730-1
1.350000+7 3.572719-1
1.370000+7 3.554883-1
1.375900+7 3.549681-1
1.380000+7 3.546544-1
1.390000+7 3.541201-1
1.400000+7 3.535721-1
1.430000+7 3.530636-1
1.431000+7 3.530383-1
1.440000+7 3.528798-1
1.450000+7 3.525825-1
1.480000+7 3.525378-1
1.486000+7 3.525165-1
1.490000+7 3.525084-1
1.500000+7 3.524978-1
1.540000+7 3.532650-1
1.541000+7 3.532973-1
1.550000+7 3.535360-1
1.560000+7 3.538616-1
1.590000+7 3.544701-1
1.596100+7 3.545625-1
1.600000+7 3.546435-1
1.610000+7 3.546096-1
1.650000+7 3.545047-1
1.651100+7 3.545089-1
1.660000+7 3.545225-1
1.670000+7 3.543829-1
1.700000+7 3.540652-1
1.706100+7 3.539765-1
1.710000+7 3.539161-1
1.720000+7 3.537834-1
1.750000+7 3.533302-1
1.760000+7 3.531940-1
1.761200+7 3.531812-1
1.770000+7 3.530506-1
1.780000+7 3.529117-1
1.800000+7 3.526525-1
1.810000+7 3.524745-1
1.816200+7 3.523729-1
1.820000+7 3.523200-1
1.830000+7 3.521425-1
1.840000+7 3.519581-1
1.850000+7 3.517512-1
1.870000+7 3.512547-1
1.871300+7 3.512257-1
1.880000+7 3.510001-1
1.890000+7 3.507634-1
1.900000+7 3.505168-1
1.920000+7 3.500584-1
1.926300+7 3.500093-1
1.930000+7 3.499706-1
1.940000+7 3.498805-1
1.950000+7 3.498754-1
1.980000+7 3.499948-1
1.981300+7 3.500116-1
1.990000+7 3.501057-1
2.000000+7 3.502215-1
 
 
 
 
