1.000000-5 1.933049+5
2.530000-2 3.845241+3
1.000000+0 6.128193+2
9.400000+0 2.012169+2
1.500000+2 5.169355+1
2.500000+2 4.044227+1
3.500000+2 3.445639+1
4.500000+2 3.059932+1
5.500000+2 2.784986+1
6.500000+2 2.576279+1
7.500000+2 2.410891+1
8.500000+2 2.275660+1
9.500000+2 2.162417+1
1.000000+3 2.112290+1
1.500000+3 1.758451+1
2.500000+3 1.404385+1
3.500000+3 1.216679+1
4.500000+3 1.096203+1
5.500000+3 1.010693+1
6.500000+3 9.460842+0
7.500000+3 8.951388+0
8.500000+3 8.537011+0
9.500000+3 8.191930+0
1.500000+4 6.983105+0
2.000000+4 6.376651+0
2.400000+4 6.048486+0
3.000000+4 5.702958+0
4.500000+4 5.226984+0
5.100000+4 5.118097+0
5.500000+4 5.062783+0
6.500000+4 4.962391+0
7.500000+4 4.902954+0
8.500000+4 4.871241+0
9.500000+4 4.858930+0
1.000000+5 4.858230+0
1.200000+5 4.880174+0
1.500000+5 4.951349+0
1.700000+5 5.003124+0
1.800000+5 5.026288+0
1.900000+5 5.046258+0
2.000000+5 5.062240+0
2.100000+5 5.073659+0
2.200000+5 5.080169+0
2.300000+5 5.081650+0
2.350000+5 5.080522+0
2.400000+5 5.078181+0
2.450000+5 5.074662+0
2.500000+5 5.070009+0
2.600000+5 5.057502+0
2.700000+5 5.041113+0
2.800000+5 5.021343+0
3.000000+5 4.973774+0
3.200000+5 4.919023+0
3.250000+5 4.904560+0
3.400000+5 4.861223+0
3.500000+5 4.832287+0
3.600000+5 4.804333+0
3.750000+5 4.764620+0
3.800000+5 4.751941+0
4.000000+5 4.706558+0
4.200000+5 4.668039+0
4.250000+5 4.658714+0
4.400000+5 4.631382+0
4.500000+5 4.610443+0
4.600000+5 4.586019+0
4.750000+5 4.538863+0
4.800000+5 4.520005+0
5.000000+5 4.427998+0
5.200000+5 4.314850+0
5.400000+5 4.190957+0
5.600000+5 4.065749+0
5.700000+5 4.004455+0
5.800000+5 3.944967+0
6.000000+5 3.831117+0
6.500000+5 3.578642+0
7.000000+5 3.365213+0
7.500000+5 3.181497+0
7.907138+5 3.049190+0
8.000000+5 3.020888+0
8.200000+5 2.962077+0
8.400000+5 2.906003+0
8.500000+5 2.878940+0
8.600000+5 2.852498+0
8.800000+5 2.801387+0
9.000000+5 2.752506+0
9.200000+5 2.705787+0
9.400000+5 2.661001+0
9.500000+5 2.639224+0
9.600000+5 2.617882+0
9.800000+5 2.576647+0
1.000000+6 2.537245+0
1.050000+6 2.458499+0
1.100000+6 2.382490+0
1.150000+6 2.308305+0
1.200000+6 2.235015+0
1.250000+6 2.165097+0
1.300000+6 2.102589+0
1.350000+6 2.048907+0
1.400000+6 2.013573+0
1.450000+6 1.991370+0
1.500000+6 1.968709+0
1.550000+6 1.971800+0
1.600000+6 2.035328+0
1.620000+6 2.069954+0
1.640000+6 2.105350+0
1.650000+6 2.122400+0
1.660000+6 2.140009+0
1.680000+6 2.179485+0
1.700000+6 2.221278+0
1.720000+6 2.261350+0
1.740000+6 2.295664+0
1.750000+6 2.309400+0
1.760000+6 2.319364+0
1.780000+6 2.326449+0
1.800000+6 2.319597+0
1.820000+6 2.302634+0
1.840000+6 2.279386+0
1.850000+6 2.266600+0
1.860000+6 2.253390+0
1.880000+6 2.225695+0
1.900000+6 2.197139+0
1.915000+6 2.176032+0
1.915446+6 2.175593+0
1.920000+6 2.168730+0
1.940000+6 2.141477+0
1.950000+6 2.128600+0
1.960000+6 2.116080+0
1.980000+6 2.091341+0
2.000000+6 2.067080+0
2.020000+6 2.043387+0
2.040000+6 2.020352+0
2.050000+6 2.009703+0
2.060000+6 1.998066+0
2.080000+6 1.976618+0
2.100000+6 1.956100+0
2.120000+6 1.937061+0
2.140000+6 1.920489+0
2.150000+6 1.913141+0
2.160000+6 1.907127+0
2.180000+6 1.897721+0
2.200000+6 1.893015+0
2.220000+6 1.893754+0
2.240000+6 1.900682+0
2.250000+6 1.906700+0
2.260000+6 1.913642+0
2.280000+6 1.927667+0
2.300000+6 1.941840+0
2.320000+6 1.956112+0
2.340000+6 1.970434+0
2.350000+6 1.977600+0
2.360000+6 1.984734+0
2.371316+6 1.992448+0
2.380000+6 1.998895+0
2.400000+6 2.013075+0
