1.000000-5 2.764700-3
1.000000-4 8.742800-4
1.000000-3 2.764700-4
1.000000-2 8.743000-5
2.530000-2 5.498000-5
1.000000-1 2.767000-5
1.000000+0 8.813814-6
2.000000+0 6.282554-6
5.000000+0 4.068773-6
1.000000+1 2.989414-6
2.000000+1 2.272732-6
5.000000+1 1.738891-6
1.000000+2 1.584892-6
2.000000+2 1.623177-6
5.000000+2 1.980015-6
1.000000+3 2.523756-6
2.000000+3 3.373808-6
5.000000+3 5.149799-6
1.000000+4 7.197366-6
2.000000+4 1.012000-5
5.000000+4 1.597000-5
1.000000+5 2.262000-5
2.000000+5 3.214000-5
3.000000+5 3.957000-5
4.000000+5 4.592000-5
5.000000+5 5.158000-5
6.000000+5 5.672000-5
7.000000+5 6.145000-5
8.000000+5 6.581000-5
9.000000+5 6.984000-5
1.000000+6 7.355000-5
1.200000+6 8.004000-5
1.400000+6 8.527000-5
1.600000+6 8.924000-5
1.800000+6 9.198000-5
2.000000+6 9.356000-5
2.200000+6 9.409000-5
2.400000+6 9.371000-5
2.600000+6 9.260000-5
2.800000+6 9.090000-5
3.000000+6 8.879000-5
3.500000+6 8.250000-5
4.000000+6 7.591000-5
4.500000+6 6.985000-5
5.000000+6 6.461000-5
6.000000+6 5.641000-5
7.000000+6 5.058000-5
8.000000+6 4.635000-5
9.000000+6 4.318000-5
1.000000+7 4.073000-5
1.100000+7 3.880000-5
1.200000+7 3.725000-5
1.300000+7 3.594000-5
1.400000+7 3.480000-5
1.500000+7 3.375000-5
1.600000+7 3.275000-5
1.700000+7 3.176000-5
1.800000+7 3.075000-5
1.900000+7 2.971000-5
2.000000+7 2.862000-5
 
 
 
