1.000000-5 2.674500+5
1.000000-4 8.457790+4
1.000000-3 2.674423+4
1.000000-2 8.456170+3
2.530000-2 5.316000+3
1.000000-1 2.673300+3
1.000000+0 8.445301+2
1.000000+1 2.662200+2
1.000000+2 8.335700+1
2.000000+2 5.859000+1
4.000000+2 4.108100+1
6.000000+2 3.332600+1
8.000001+2 2.870500+1
1.000000+3 2.555200+1
1.400000+3 2.141492+1
2.000000+3 1.773300+1
2.400000+3 1.609217+1
3.000000+3 1.427553+1
4.000000+3 1.221600+1
5.000000+3 1.081296+1
6.000000+3 9.777900+0
7.000000+3 8.974711+0
8.000000+3 8.328800+0
9.000000+3 7.794425+0
1.000000+4 7.342600+0
1.200000+4 6.616269+0
1.500000+4 5.816300+0
1.700000+4 5.406664+0
2.000000+4 4.912800+0
2.200000+4 4.642359+0
2.500000+4 4.300600+0
2.700000+4 4.105836+0
3.000000+4 3.852000+0
3.200000+4 3.703498+0
3.500000+4 3.505800+0
4.000000+4 3.228800+0
4.500000+4 3.001200+0
5.000000+4 2.810000+0
5.500000+4 2.646868+0
6.000000+4 2.505800+0
6.500000+4 2.382365+0
7.000000+4 2.273400+0
7.500000+4 2.176337+0
8.000000+4 2.089300+0
9.000000+4 1.939700+0
1.000000+5 1.815600+0
1.200000+5 1.622100+0
1.400000+5 1.479000+0
1.600000+5 1.369900+0
1.800000+5 1.285300+0
2.000000+5 1.218700+0
2.500000+5 1.106900+0
3.000000+5 1.044200+0
3.500000+5 1.008500+0
4.000000+5 9.859700-1
4.500000+5 9.681600-1
5.000000+5 9.505600-1
5.500000+5 9.315136-1
6.000000+5 9.123400-1
6.500000+5 8.935094-1
7.000000+5 8.762800-1
7.500000+5 8.621818-1
8.000000+5 8.506600-1
8.500000+5 8.428116-1
9.000000+5 8.385000-1
9.500000+5 8.365911-1
1.000000+6 8.383900-1
1.100000+6 8.477074-1
1.200000+6 8.590000-1
1.300000+6 8.713500-1
1.400000+6 8.806400-1
1.500000+6 8.850400-1
1.600000+6 8.838500-1
1.700000+6 8.772700-1
1.800000+6 8.659700-1
1.900000+6 8.508025-1
2.000000+6 8.329800-1
2.200000+6 7.919200-1
2.400000+6 7.479100-1
2.500000+6 7.258239-1
2.600000+6 7.040600-1
2.800000+6 6.620500-1
3.000000+6 6.226900-1
3.500000+6 5.375100-1
4.000000+6 4.703600-1
4.362604+6 4.312280-1
4.380000+6 4.295011-1
4.500000+6 4.178900-1
5.000000+6 3.720000-1
5.500000+6 3.340000-1
6.000000+6 3.030000-1
6.500000+6 2.750000-1
7.000000+6 2.570000-1
7.500000+6 2.390000-1
8.000000+6 2.220000-1
8.500000+6 2.080000-1
9.000000+6 1.960000-1
9.500000+6 1.840000-1
1.000000+7 1.750000-1
1.050000+7 1.650000-1
1.100000+7 1.580000-1
1.150000+7 1.500000-1
1.200000+7 1.430000-1
1.250000+7 1.370000-1
1.300000+7 1.310000-1
1.350000+7 1.260000-1
1.400000+7 1.220000-1
1.500000+7 1.120000-1
1.600000+7 1.040000-1
1.700000+7 9.760000-2
1.800000+7 9.180000-2
1.900000+7 8.660000-2
2.000000+7 8.200000-2
 
 
 
 
