1.000000-5 2.674533+5 
1.000000-4 8.458122+4 
1.000000-3 2.674754+4
1.000000-2 8.459482+3 
2.530000-2 5.319310+3 
1.000000-1 2.676610+3
1.000000+0 8.478401+2 
2.000000+0 6.004605+2 
5.000000+0 3.805577+2
1.000000+1 2.695200+2 
2.000000+1 1.915146+2 
5.000000+1 1.219108+2
1.000000+2 8.662700+1 
2.000000+2 6.184549+1 
4.000000+2 4.431541+1
5.000000+2 3.985495+1 
6.000000+2 3.654586+1 
8.000001+2 3.191384+1
1.000000+3 2.875200+1 
1.400000+3 2.459745+1 
2.000000+3 2.088962+1
2.400000+3 1.923328+1 
3.000000+3 1.739609+1 
4.000000+3 1.530827+1
5.000000+3 1.388253+1 
6.000000+3 1.282877+1 
7.000000+3 1.200987+1
8.000000+3 1.135055+1 
9.000000+3 1.080457+1 
1.000000+4 1.034261+1
1.200000+4 9.603206+0 
1.500000+4 8.793349+0 
1.700000+4 8.377710+0
2.000000+4 7.872095+0 
2.200000+4 7.591337+0 
2.500000+4 7.230241+0
2.700000+4 7.020163+0 
3.000000+4 6.740140+0 
3.200000+4 6.572297+0
3.500000+4 6.343202+0 
4.000000+4 6.008814+0 
4.500000+4 5.725169+0
5.000000+4 5.484629+0 
5.500000+4 5.277527+0 
6.000000+4 5.096879+0
6.500000+4 4.937519+0 
7.000000+4 4.795711+0 
7.500000+4 4.668438+0
8.000000+4 4.553465+0 
9.000000+4 4.353697+0 
1.000000+5 4.185623+0
1.200000+5 3.917853+0 
1.400000+5 3.713714+0 
1.600000+5 3.553098+0
1.800000+5 3.424137+0 
2.000000+5 3.318732+0 
2.500000+5 3.139178+0
3.000000+5 3.033762+0 
3.500000+5 2.964144+0
4.000000+5 2.910046+0
4.500000+5 2.860049+0 
5.000000+5 2.840052+0 
5.500000+5 2.801183+0
6.000000+5 2.770057+0 
6.500000+5 2.760134+0 
7.000000+5 2.750061+0
7.500000+5 2.759298+0 
8.000000+5 2.770066+0 
8.500000+5 2.798501+0
9.000000+5 2.820070+0 
9.500000+5 2.848219+0 
1.000000+6 2.870074+0
1.100000+6 2.938682+0 
1.200000+6 3.000080+0 
1.300000+6 3.050083+0
1.400000+6 3.100085+0 
1.500000+6 3.180087+0 
1.600000+6 3.200089+0
1.700000+6 3.220091+0 
1.800000+6 3.230092+0 
1.900000+6 3.222015+0
2.000000+6 3.200094+0 
2.200000+6 3.156515+0 
2.400000+6 3.112380+0
2.500000+6 3.090702+0 
2.600000+6 3.066612+0 
2.800000+6 3.012815+0
3.000000+6 2.950089+0 
3.500000+6 2.790082+0 
4.000000+6 2.650076+0
4.362604+6 2.555513+0 
4.380000+6 2.551184+0 
4.500000+6 2.519770+0
5.000000+6 2.400065+0 
5.500000+6 2.280061+0 
6.000000+6 2.180056+0
6.500000+6 2.080253+0 
7.000000+6 1.980551+0 
7.500000+6 1.900248+0
8.000000+6 1.820146+0 
8.500000+6 1.740045+0 
9.000000+6 1.670043+0
9.500000+6 1.620542+0 
1.000000+7 1.550541+0 
1.050000+7 1.490440+0
1.100000+7 1.430039+0 
1.150000+7 1.385538+0 
1.200000+7 1.339837+0
1.250000+7 1.295537+0 
1.300000+7 1.250136+0 
1.350000+7 1.210135+0
1.400000+7 1.170035+0 
1.500000+7 1.112034+0 
1.600000+7 1.050033+0
1.700000+7 9.920318-1 
1.800000+7 9.400307-1 
1.900000+7 8.930297-1
2.000000+7 8.510286-1
