1.751500+6 0.000000+0
1.800000+6 4.988765-3
1.900000+6 1.101779-2
2.000000+6 1.726582-2
2.043500+6 1.962618-2
2.100000+6 2.216485-2
2.200000+6 2.539287-2
2.300000+6 4.003890-2
2.335400+6 4.414715-2
2.400000+6 5.139892-2
2.500000+6 6.756994-2
2.551400+6 8.140144-2
2.600000+6 9.696896-2
2.627300+6 1.074292-1
2.700000+6 1.390300-1
2.800000+6 1.870090-1
2.900000+6 2.417770-1
2.919200+6 2.515715-1
3.000000+6 2.938690-1
3.100000+6 3.478593-1
3.200000+6 4.065502-1
3.211100+6 4.124618-1
3.300000+6 4.595622-1
3.400000+6 5.058187-1
3.500000+6 5.458054-1
3.503100+6 5.467536-1
3.600000+6 5.766814-1
3.700000+6 6.022589-1
3.795000+6 6.205784-1
3.800000+6 6.215478-1
3.900000+6 6.356070-1
4.000000+6 6.479893-1
4.050000+6 6.536277-1
4.086900+6 6.565888-1
4.100000+6 6.591661-1
4.150000+6 6.631178-1
4.159000+6 6.633250-1
4.200000+6 6.669692-1
4.250000+6 6.715516-1
4.300000+6 6.761343-1
4.350000+6 6.805182-1
4.378800+6 6.832474-1
4.400000+6 6.852023-1
4.450000+6 6.893132-1
4.500000+6 6.935242-1
4.550000+6 6.971902-1
4.600000+6 7.008563-1
4.650000+6 7.044568-1
4.670800+6 7.059529-1
4.700000+6 7.081573-1
4.750000+6 7.108263-1
4.800000+6 7.135953-1
4.850000+6 7.168900-1
4.900000+6 7.200415-1
5.000000+6 7.244226-1
5.050000+6 7.254535-1
5.100000+6 7.274005-1
5.150000+6 7.279073-1
5.200000+6 7.290575-1
5.254600+6 7.294074-1
5.300000+6 7.295574-1
5.400000+6 7.292503-1
5.500000+6 7.278663-1
5.600000+6 7.268996-1
5.800000+6 7.229687-1
5.838400+6 7.219890-1
6.000000+6 7.182537-1
6.200000+6 7.144544-1
6.400000+6 7.101336-1
6.422300+6 7.096147-1
6.600000+6 7.059962-1
6.800000+6 7.020092-1
7.000000+6 6.986227-1
7.006100+6 6.984813-1
7.200000+6 6.940968-1
7.400000+6 6.885426-1
7.590000+6 6.813377-1
7.600000+6 6.809273-1
8.000000+6 6.617545-1
8.173800+6 6.521955-1
8.200000+6 6.507896-1
8.400000+6 6.405016-1
8.500000+6 6.348221-1
8.600000+6 6.298426-1
8.757700+6 6.221619-1
8.800000+6 6.200596-1
9.000000+6 6.098896-1
9.341500+6 5.924890-1
9.500000+6 5.845576-1
9.925300+6 5.631215-1
1.000000+7 5.593897-1
1.040000+7 5.408847-1
1.050000+7 5.366642-1
1.050900+7 5.363983-1
1.080000+7 5.277587-1
1.100000+7 5.238897-1
1.109300+7 5.226577-1
1.150000+7 5.178725-1
1.167700+7 5.163823-1
1.200000+7 5.121897-1
1.226100+7 5.082988-1
1.250000+7 5.041713-1
1.284500+7 4.969966-1
1.300000+7 4.936898-1
1.342800+7 4.861774-1
1.350000+7 4.848817-1
1.400000+7 4.768698-1
1.401200+7 4.766592-1
1.450000+7 4.684147-1
1.459600+7 4.667301-1
1.500000+7 4.602699-1
1.518000+7 4.577451-1
1.550000+7 4.531260-1
1.576400+7 4.497376-1
1.600000+7 4.465299-1
1.634800+7 4.421757-1
1.650000+7 4.402175-1
1.693100+7 4.350954-1
1.700000+7 4.341799-1
1.750000+7 4.291563-1
1.751500+7 4.290116-1
1.800000+7 4.236699-1
1.809900+7 4.226576-1
1.850000+7 4.185486-1
1.900000+7 4.135600-1
1.950000+7 4.095727-1
2.000000+7 4.051200-1
 
 
 
 
 
