1.000000-5 4.720599+4
1.000000-4 1.492784+4
1.000000-3 4.720599+3
1.000000-2 1.492784+3
2.530000-2 9.385055+2
1.000000-1 4.719996+2
1.000000+0 1.492274+2
9.400000+0 4.866248+1
1.000000+1 4.717844+1
1.000000+2 1.490050+1
1.500000+2 1.216353+1
2.000000+2 1.053099+1
2.500000+2 9.417168+0
3.500000+2 7.956984+0
4.000000+2 7.441392+0
4.500000+2 7.014411+0
5.500000+2 6.343235+0
6.000000+2 6.072872+0
6.500000+2 5.834349+0
7.500000+2 5.430033+0
8.000000+2 5.257188+0
8.500000+2 5.099841+0
9.500000+2 4.823836+0
1.000000+3 4.701349+0
1.500000+3 3.836413+0
2.000000+3 3.322243+0
2.500000+3 2.971374+0
3.500000+3 2.511113+0
4.000000+3 2.363643+0
4.500000+3 2.216174+0
5.500000+3 2.006007+0
6.000000+3 1.925988+0
6.500000+3 1.845969+0
7.500000+3 1.719985+0
8.000000+3 1.668955+0
8.500000+3 1.617925+0
9.500000+3 1.531938+0
1.000000+4 1.504302+0
1.500000+4 1.227946+0
2.000000+4 1.072031+0
2.400000+4 9.854855-1
2.500000+4 9.699611-1
3.000000+4 8.923396-1
3.500000+4 8.357798-1
4.000000+4 7.961999-1
4.500000+4 7.566203-1
5.000000+4 7.316262-1
5.500000+4 7.066323-1
6.000000+4 6.903150-1
6.500000+4 6.739977-1
7.000000+4 6.643084-1
7.500000+4 6.546193-1
8.000000+4 6.510267-1
8.500000+4 6.474341-1
9.000000+4 6.485735-1
9.500000+4 6.497129-1
1.000000+5 6.540122-1
1.100000+5 6.729458-1
1.200000+5 7.014805-1
1.300000+5 7.436289-1
1.400000+5 8.069274-1
1.500000+5 8.893955-1
1.600000+5 1.000999+0
1.700000+5 1.154762+0
1.800000+5 1.358582+0
1.900000+5 1.626849+0
2.000000+5 1.970438+0
2.050000+5 2.174617+0
2.100000+5 2.378795+0
2.150000+5 2.589650+0
2.160000+5 2.631821+0
2.170000+5 2.673992+0
2.180000+5 2.716163+0
2.190000+5 2.758334+0
2.200000+5 2.800505+0
2.210000+5 2.833415+0
2.220000+5 2.866324+0
2.230000+5 2.899234+0
2.240000+5 2.932143+0
2.250000+5 2.965053+0
2.260000+5 2.997962+0
2.270000+5 3.030872+0
2.280000+5 3.063782+0
2.290000+5 3.096691+0
2.300000+5 3.129601+0
2.310000+5 3.147609+0
2.320000+5 3.165618+0
2.330000+5 3.183626+0
2.340000+5 3.201635+0
2.350000+5 3.219644+0
2.360000+5 3.229390+0
2.370000+5 3.236824+0
2.380000+5 3.241768+0
2.390000+5 3.244054+0
2.400000+5 3.243521+0
2.410000+5 3.240077+0
2.420000+5 3.233899+0
2.430000+5 3.225232+0
2.440000+5 3.214321+0
2.450000+5 3.201408+0
2.460000+5 3.181313+0
2.470000+5 3.161217+0
2.480000+5 3.141121+0
2.490000+5 3.121025+0
2.500000+5 3.100929+0
2.510000+5 3.068866+0
2.520000+5 3.036802+0
2.530000+5 3.004739+0
2.540000+5 2.972675+0
2.550000+5 2.940611+0
2.560000+5 2.908548+0
2.570000+5 2.876484+0
2.580000+5 2.844421+0
2.590000+5 2.812357+0
2.600000+5 2.780293+0
2.610000+5 2.742171+0
2.620000+5 2.704048+0
2.630000+5 2.665926+0
2.640000+5 2.627803+0
2.650000+5 2.589681+0
2.660000+5 2.551558+0
2.670000+5 2.513436+0
2.680000+5 2.475313+0
2.690000+5 2.437191+0
2.700000+5 2.399068+0
2.750000+5 2.217838+0
2.800000+5 2.036607+0
2.850000+5 1.897317+0
2.900000+5 1.758027+0
2.950000+5 1.618737+0
3.000000+5 1.479447+0
3.050000+5 1.379954+0
3.100000+5 1.280461+0
3.200000+5 1.130386+0
3.250000+5 1.055348+0
3.350000+5 9.410770-1
3.400000+5 8.977847-1
3.500000+5 8.112003-1
3.600000+5 7.437807-1
