1.000000-5 4.720671+4
1.000000-4 1.492856+4
1.000000-3 4.721317+3
1.000000-2 1.493502+3
2.530000-2 9.392230+2
1.000000-1 4.727171+2
1.000000+0 1.499447+2
9.400000+0 4.937962+1
1.000000+1 4.789557+1
1.000000+2 1.561668+1
1.500000+2 1.287941+1
2.000000+2 1.124661+1
2.500000+2 1.013255+1
3.500000+2 8.671954+0
4.000000+2 8.156176+0
4.500000+2 7.729021+0
5.500000+2 7.057525+0
6.000000+2 6.787008+0
6.500000+2 6.548339+0
7.500000+2 6.143752+0
8.000000+2 5.970776+0
8.500000+2 5.813301+0
9.500000+2 5.537055+0
1.000000+3 5.414454+0
1.500000+3 4.548463+0
2.000000+3 4.033398+0
2.500000+3 3.681734+0
3.500000+3 3.220083+0
4.000000+3 3.071985+0
4.500000+3 2.923924+0
5.500000+3 2.712667+0
6.000000+3 2.632142+0
6.500000+3 2.551639+0
7.500000+3 2.424745+0
8.000000+3 2.373281+0
8.500000+3 2.321835+0
9.500000+3 2.235058+0
1.000000+4 2.207035+0
1.500000+4 1.927526+0
2.000000+4 1.769331+0
2.400000+4 1.681496+0
2.500000+4 1.665714+0
3.000000+4 1.587300+0
3.500000+4 1.530800+0
4.000000+4 1.492091+0
4.500000+4 1.453670+0
5.000000+4 1.430991+0
5.500000+4 1.409442+0
6.000000+4 1.397646+0
6.500000+4 1.386958+0
7.000000+4 1.384351+0
7.500000+4 1.383219+0
8.000000+4 1.389891+0
8.500000+4 1.398724+0
9.000000+4 1.414874+0
9.500000+4 1.432843+0
1.000000+5 1.457352+0
1.100000+5 1.530020+0
1.200000+5 1.626040+0
1.300000+5 1.760622+0
1.400000+5 1.958091+0
1.500000+5 2.216795+0
1.600000+5 2.570672+0
1.700000+5 3.067162+0
1.800000+5 3.742482+0
1.900000+5 4.660349+0
2.000000+5 5.877538+0
2.050000+5 6.608291+0
2.100000+5 7.396195+0
2.150000+5 8.224271+0
2.160000+5 8.392704+0
2.170000+5 8.562186+0
2.180000+5 8.732772+0
2.190000+5 8.904523+0
2.200000+5 9.077505+0
2.210000+5 9.240070+0
2.220000+5 9.399112+0
2.230000+5 9.554749+0
2.240000+5 9.707118+0
2.250000+5 9.856386+0
2.260000+5 1.000274+1
2.270000+5 1.014637+1
2.280000+5 1.028752+1
2.290000+5 1.042641+1
2.300000+5 1.056330+1
2.310000+5 1.068066+1
2.320000+5 1.079077+1
2.330000+5 1.089395+1
2.340000+5 1.099055+1
2.350000+5 1.108094+1
2.360000+5 1.115761+1
2.370000+5 1.122660+1
2.380000+5 1.128717+1
2.390000+5 1.133861+1
2.400000+5 1.138022+1
2.410000+5 1.141139+1
2.420000+5 1.143250+1
2.430000+5 1.144441+1
2.440000+5 1.144799+1
2.450000+5 1.144411+1
2.460000+5 1.142693+1
2.470000+5 1.140255+1
2.480000+5 1.137089+1
2.490000+5 1.133192+1
2.500000+5 1.128563+1
2.510000+5 1.122181+1
2.520000+5 1.115410+1
2.530000+5 1.108243+1
2.540000+5 1.100671+1
2.550000+5 1.092687+1
2.560000+5 1.084286+1
2.570000+5 1.075464+1
2.580000+5 1.066218+1
2.590000+5 1.056546+1
2.600000+5 1.046449+1
2.610000+5 1.035491+1
2.620000+5 1.024434+1
2.630000+5 1.013262+1
2.640000+5 1.001960+1
2.650000+5 9.905144+0
2.660000+5 9.789130+0
2.670000+5 9.671448+0
2.680000+5 9.551997+0
2.690000+5 9.430695+0
2.700000+5 9.307468+0
2.750000+5 8.707676+0
2.800000+5 8.123607+0
2.850000+5 7.596993+0
2.900000+5 7.095816+0
2.950000+5 6.623667+0
3.000000+5 6.182447+0
3.050000+5 5.810155+0
3.100000+5 5.462644+0
3.200000+5 4.880643+0
3.250000+5 4.617348+0
3.350000+5 4.180592+0
3.400000+5 3.999855+0
3.500000+5 3.674500+0
3.600000+5 3.405343+0
3.750000+5 3.078461+0
3.800000+5 2.987085+0
3.850000+5 2.900217+0
4.000000+5 2.677424+0
4.100000+5 2.553679+0
4.200000+5 2.445393+0
4.250000+5 2.395294+0
4.350000+5 2.304740+0
4.400000+5 2.263718+0
4.500000+5 2.187069+0
4.600000+5 2.119384+0
4.750000+5 2.029334+0
4.800000+5 2.002040+0
4.850000+5 1.975563+0
5.000000+5 1.903761+0
5.200000+5 1.823712+0
5.400000+5 1.754876+0
5.500000+5 1.724790+0
5.700000+5 1.669288+0
6.000000+5 1.599856+0
6.500000+5 1.509621+0
7.000000+5 1.442000+0
7.500000+5 1.389716+0
8.000000+5 1.348236+0
8.500000+5 1.315119+0
9.000000+5 1.288490+0
9.400000+5 1.270871+0
9.500000+5 1.266839+0
9.600000+5 1.262959+0
9.800000+5 1.255840+0
1.000000+6 1.249219+0
1.050000+6 1.235537+0
1.100000+6 1.224034+0
1.150000+6 1.215599+0
1.200000+6 1.209350+0
1.250000+6 1.204970+0
1.300000+6 1.202542+0
1.350000+6 1.202462+0
1.400000+6 1.203628+0
1.450000+6 1.206570+0
1.500000+6 1.211258+0
1.550000+6 1.217895+0
1.600000+6 1.226039+0
1.650000+6 1.236062+0
1.700000+6 1.247700+0
1.751500+6 1.261753+0
1.800000+6 1.282152+0
1.900000+6 1.321632+0
2.000000+6 1.361577+0
2.043500+6 1.378333+0
2.050000+6 1.380764+0
2.100000+6 1.399392+0
2.150000+6 1.417041+0
2.200000+6 1.434729+0
2.250000+6 1.458194+0
2.300000+6 1.481557+0
2.335400+6 1.496076+0
2.350000+6 1.501991+0
2.400000+6 1.522163+0
2.450000+6 1.542100+0
2.500000+6 1.562052+0
2.550000+6 1.587221+0
2.551400+6 1.587922+0
2.600000+6 1.614573+0
2.627300+6 1.631263+0
2.700000+6 1.674613+0
2.800000+6 1.736598+0
2.900000+6 1.793414+0
2.919200+6 1.803423+0
3.000000+6 1.846068+0
3.100000+6 1.899340+0
3.184600+6 1.946774+0
3.200000+6 1.955393+0
3.211100+6 1.961036+0
3.300000+6 2.004988+0
3.400000+6 2.048919+0
3.500000+6 2.086013+0
3.503100+6 2.086863+0
3.600000+6 2.113467+0
3.700000+6 2.134774+0
3.795000+6 2.147795+0
3.800000+6 2.148467+0
3.900000+6 2.155844+0
4.000000+6 2.160700+0
4.050000+6 2.161453+0
4.086900+6 2.160225+0
4.100000+6 2.161300+0
4.150000+6 2.159831+0
4.159000+6 2.158931+0
4.170000+6 2.158549+0
4.180000+6 2.158201+0
4.200000+6 2.157500+0
4.250000+6 2.155328+0
4.300000+6 2.152700+0
4.318000+6 2.151992+0
4.350000+6 2.150922+0
4.378800+6 2.148815+0
4.400000+6 2.147200+0
4.450000+6 2.144216+0
4.500000+6 2.141500+0
4.550000+6 2.138111+0
4.600000+6 2.135100+0
4.650000+6 2.132411+0
4.670800+6 2.131410+0
4.700000+6 2.130100+0
4.750000+6 2.126882+0
4.800000+6 2.123600+0
4.830000+6 2.122196+0
4.850000+6 2.120993+0
4.900000+6 2.118300+0
5.000000+6 2.111700+0
5.050000+6 2.107705+0
5.100000+6 2.105000+0
5.150000+6 2.100954+0
5.200000+6 2.097800+0
5.254600+6 2.093747+0
5.300000+6 2.090500+0
5.400000+6 2.083000+0
5.500000+6 2.075000+0
5.600000+6 2.067500+0
5.700000+6 2.059344+0
5.800000+6 2.051500+0
5.838400+6 2.048265+0
5.900000+6 2.043127+0
6.000000+6 2.035000+0
6.200000+6 2.019000+0
6.400000+6 2.002000+0
6.422300+6 2.000049+0
6.500000+6 1.993391+0
6.600000+6 1.985000+0
6.800000+6 1.969000+0
7.000000+6 1.952500+0
7.006100+6 1.951991+0
7.200000+6 1.936500+0
7.400000+6 1.921000+0
7.500000+6 1.912995+0
7.590000+6 1.905790+0
7.600000+6 1.905000+0
7.800000+6 1.889371+0
8.000000+6 1.874000+0
8.173800+6 1.860492+0
8.200000+6 1.858500+0
8.400000+6 1.843000+0
8.500000+6 1.834995+0
8.600000+6 1.827500+0
8.757700+6 1.816098+0
8.800000+6 1.813000+0
9.000000+6 1.798000+0
9.200000+6 1.782815+0
9.341500+6 1.772009+0
9.400000+6 1.767582+0
9.500000+6 1.760005+0
9.600000+6 1.752602+0
9.800000+6 1.737781+0
9.925300+6 1.728501+0
1.000000+7 1.723000+0
1.020000+7 1.708505+0
1.040000+7 1.693000+0
1.050000+7 1.685172+0
1.050900+7 1.684568+0
1.060000+7 1.678319+0
1.080000+7 1.663500+0
1.100000+7 1.649000+0
1.109300+7 1.642502+0
1.120000+7 1.634966+0
1.140000+7 1.620626+0
1.150000+7 1.613452+0
1.160000+7 1.606488+0
1.167700+7 1.601227+0
1.180000+7 1.592451+0
1.200000+7 1.579000+0
1.225000+7 1.562501+0
1.226100+7 1.561791+0
1.250000+7 1.546000+0
1.275000+7 1.529223+0
1.284500+7 1.522904+0
1.300000+7 1.512500+0
1.325000+7 1.496240+0
1.342800+7 1.484662+0
1.350000+7 1.480000+0
1.375000+7 1.464187+0
1.400000+7 1.449000+0
1.401200+7 1.448269+0
1.425000+7 1.434573+0
1.450000+7 1.421000+0
1.459600+7 1.415694+0
1.475000+7 1.407438+0
1.500000+7 1.393500+0
1.518000+7 1.383597+0
1.525000+7 1.379721+0
1.550000+7 1.366000+0
1.575000+7 1.352731+0
1.576400+7 1.351994+0
1.600000+7 1.339500+0
1.625000+7 1.326457+0
1.634800+7 1.321375+0
1.650000+7 1.313500+0
1.675000+7 1.301068+0
1.693100+7 1.292345+0
1.700000+7 1.289000+0
1.725000+7 1.278010+0
1.750000+7 1.267500+0
1.751500+7 1.266895+0
1.775000+7 1.257179+0
1.800000+7 1.247000+0
1.809900+7 1.243083+0
1.825000+7 1.237148+0
1.850000+7 1.227500+0
1.875000+7 1.218136+0
1.900000+7 1.209000+0
1.925000+7 1.200739+0
1.950000+7 1.193000+0
1.975000+7 1.185366+0
2.000000+7 1.178000+0
